Sample ,Site,Depth,raz,nh4,n_per,c_per,s_per,cn,gravel,sand,mud,mn,ca,mg,na,k,si,al,fe_ii,fe_iii,fe_t
N1_10_20,N,2,608.19,1.79,0.0697,0.3463,0.011,4.968436155,0.643,0.259,0.098,2.501,129.533,21.251,3.793,3.741,35.754,90.138,5.9607,30.243,36.204
N1_20_30,N,3,447.29,0.984,0.0654,0.3286,0.0113,5.024464832,0.682,0.217,0.101,1.651,130.439,21.622,3.627,3.855,36.927,94.743,3.5854,30.646,34.2315
N1_30_40,N,4,361.83,0.612,0.0544,0.2498,0.0093,4.591911765,0.789,0.147,0.064,4.459,134.597,29.292,4.305,4.218,50.464,111.133,22.96,40.253,63.213
N1_40_50,N,5,425.56,0.472,0.0537,0.2105,0.0089,3.919925512,0.837,0.112,0.051,1.808,126.045,23.423,3.928,4.17,38.949,93.226,2.4355,32.437,34.8727
N2_0_30,N,7,892.25,0.464,0.0851,0.6705,0.011,7.878965922,0.694,0.186,0.12,2.927,146.828,27.061,5.838,4.426,44.821,108.324,3.4053,37.063,40.4688
N2_30_40,N,4,717.47,0.584,0.0678,0.509,0.01,7.507374631,0.766,0.148,0.086,1.88,120.529,25.526,4.684,5.111,47.722,104.836,2.5821,29.664,32.2463
N2_40_50,N,5,619.45,0.281,0.0521,0.3524,0.0087,6.763915547,0.855,0.085,0.06,1.915,136.034,26.283,4.21,5.089,45.889,106.498,3.4021,32.77,36.1724
N2_50_60,N,6,509.36,0.276,0.0547,0.3796,0.0091,6.939670932,0.869,0.066,0.065,1.919,141.118,27.184,3.859,4.716,42.579,109.209,2.7854,32.174,34.9591
N3_0_10,N,1,606.5,0.522,0.0531,0.4341,0.008,8.175141243,0.598,0.312,0.09,1.327,102.555,18.729,3.038,3.036,44.483,76.923,2.5196,21.659,24.1782
N3_10_20,N,2,625.96,0.714,0.0542,0.4369,0.0092,8.060885609,0.775,0.172,0.053,1.55,95.952,17.722,2.107,2.901,40.513,68.635,2.9223,19.947,22.8688
N3_20_30,N,3,786.45,0.552,0.0938,0.749,0.0126,7.985074627,0.828,0.124,0.048,0.985,94.132,20.963,2.931,3.451,39.32,79.077,2.3865,17.877,20.2633
N3_40_50,N,5,673.23,0.826,0.0814,0.6526,0.0109,8.017199017,0.779,0.153,0.068,0.954,112.467,21.188,3.619,3.664,42.414,94.012,2.7228,22.852,25.5752
N3_50_60,N,6,633.26,0.39,0.0717,0.5733,0.0106,7.9958159,0.864,0.094,0.042,1.266,135.011,24.954,4.155,4.377,52.904,112.784,3.1599,27.975,31.1348
S2_0_10,S,1,1035.2,11.219,0.0593,0.3726,0.0075,6.283305228,0.873,0.113,0.014,3.415,97.586,15.481,3.235,3.378,30.076,48.807,2.3566,28.468,30.8243
S1_10_20,S,2,931.22,4.553,0.0772,0.4678,0.0088,6.059585492,0.711,0.165,0.124,2.273,132.726,104.915,6.208,7.942,95.144,153.073,9.0447,20.42,29.4651
S1_20_30,S,3,1157.58,3.879,0.0845,0.482,0.0074,5.704142012,0.794,0.118,0.088,2.764,134.934,60.357,5.408,7.548,79.104,135.171,4.8871,14.653,19.5402
S1_30_40,S,4,1075.98,3.208,0.0923,0.5536,0.0079,5.997833153,0.84,0.096,0.064,2.996,149.614,43.683,12.758,144.488,68.564,125.782,4.3349,67.436,71.7709
S1_40_50,S,5,1065.96,3.319,0.0949,0.6032,0.0076,6.356164384,0.852,0.086,0.063,3.94,198.945,55.165,5.947,9.126,92.302,171.013,3.6857,29.156,32.8415
S1_50_60,S,6,1050.79,3.981,0.0988,0.6408,0.0083,6.48582996,0.89,0.061,0.05,2.843,128.244,35.968,4.486,6.061,60.272,114.821,4.1051,35.623,39.7284
S2_20_30,S,3,1171.05,9.936,0.0983,0.7086,0.0115,7.20854527,0.847,0.1,0.053,3.709,95.479,24.461,4.662,5.122,46.769,83.218,2.822,34.274,37.0959
S2_30_40,S,4,1085.21,3.171,0.1145,0.7547,0.0113,6.591266376,0.847,0.082,0.071,3.244,131.682,34.12,6.487,6.009,63.144,119.751,3.949,39.658,43.6072
S2_40_50,S,5,1001.19,2.875,0.1255,0.7824,0.0128,6.234262948,0.889,0.061,0.05,5.147,184.526,46.291,7.508,9.499,81.735,167.976,3.7182,22.349,26.0671
S2_50_60,S,6,756.69,0.982,0.133,0.7586,0.0118,5.703759398,0.893,0.044,0.063,2.447,139.488,34.223,6.28,6.684,61.316,125.776,3.0387,39.731,42.77
S3_0_10,S,1,566.83,3.181,0.052,0.2871,0.0088,5.521153846,0.864,0.113,0.023,2.822,93.275,17.548,5.451,2.629,24.195,41.406,4.7646,44.028,48.7923
S3_10_20,S,2,853.02,2.493,0.0807,0.5086,0.0123,6.302354399,0.906,0.052,0.041,2.478,105.959,24.637,4.211,3.649,38.141,68.968,2.1629,25.384,27.5465
S3_20_30,S,3,1033.66,2.029,0.1236,0.7756,0.0163,6.275080906,0.87,0.051,0.079,3.166,155.809,42.321,6.837,6.76,70.455,137.861,2.8925,26.038,28.9305
S3_30_40,S,4,926.81,1.329,0.1346,0.784,0.0145,5.824665676,0.868,0.046,0.086,2.872,139.815,37.879,5.926,6.347,64.04,128.366,2.9516,39.075,42.0263
S3_40_50,S,5,709.21,0.663,0.1174,0.7014,0.01,5.974446337,0.911,0.039,0.05,3.081,158.674,44.585,7.87,7.32,70.018,142.482,3.4317,41.505,44.937
S3_50_60,S,6,832.77,1.474,0.15,0.8626,0.011,5.750666667,0.917,0.026,0.057,3.211,138.657,41.937,7.307,7.21,69.292,130.423,3.6402,34.75,38.3903